value,tag,default
PRODUCT FEATURES::Pinned/Bookmarked,about_pinned_starred,false
PRODUCT FEATURES::Preferences and Settings,about_preferences_and_settings,false
PRODUCT FEATURES::Sales Elevate,about_sales_elevate,false
PRODUCT FEATURES::Search/Autocomplete,about_search,false
PRODUCT FEATURES::Sidebar,about_sidebar,false
PRODUCT FEATURES::Slackbot,about_slackbot,false
PRODUCT FEATURES::Slash Commands/Quick Actions,about_slash_commands_quick_actions,false
PRODUCT FEATURES::Translation,about_translation,false
PRODUCT FEATURES::Unfurling,about_messages_unfurling,false
PRODUCT FEATURES::User Status,about_user_status,false
PRODUCT FEATURES::Virtual HQ,about_virtual_hq,false
PURCHASE EXPERIENCE::Charges and Credits::Currency,about_currency,false
PURCHASE EXPERIENCE::Charges and Credits::Fair Billing,about_fair_billing,false
PURCHASE EXPERIENCE::Charges and Credits::Refund Request,about_refund_request,false
PURCHASE EXPERIENCE::Delinquent Payments::Credit Card Failure,about_credit_card_failure,false
PURCHASE EXPERIENCE::Delinquent Payments::Outbound Collection Attempt,about_outbound_collection_attempt,false
PURCHASE EXPERIENCE::Delinquent Payments::Past Due Remittance,about_past_due_remittance,false
PURCHASE EXPERIENCE::Receipts and Invoices::Edit Billing Details,about_edit_billing_details,false
PURCHASE EXPERIENCE::Receipts and Invoices::Invoice Copies,about_invoice_copies,false
PURCHASE EXPERIENCE::Receipts and Invoices::Invoice Rejection,about_invoice_rejection,false
PURCHASE EXPERIENCE::Receipts and Invoices::Payment Remittance,about_payment_remittance,false
PURCHASE EXPERIENCE::Receipts and Invoices::Portal Requests,about_portal_requests,false
PURCHASE EXPERIENCE::Receipts and Invoices::Statement of Account,about_statement_of_account,false
PURCHASE EXPERIENCE::Subscription Change::Billing Frequency,about_billing_frequency,false
PURCHASE EXPERIENCE::Subscription Change::Payment Method Change,about_payment_method_change,false
PURCHASE EXPERIENCE::Subscription Change::Plan Switch,about_plan_switch,false
PURCHASE EXPERIENCE::Tax::Tax Documentation Request,about_tax_documentation_request,false
PURCHASE EXPERIENCE::Tax::Tax Exemption,about_tax_exemption,false
PURCHASE EXPERIENCE::Tax::Withholding Tax,about_withholding_tax,false
PURCHASE EXPERIENCE::Vendor Information,about_vendor_information,false
SECURITY::Data Security Practices,about_security_data_practices,false
SECURITY::Fraud/Phishing,about_security_fraud,false
SECURITY::Security Other,about_security_other,false
SECURITY::Security Questionnaire,about_security_questionnaire,false
SECURITY::SOC 2,about_security_soc_2,false
SECURITY::Unauthorized access,about_security_unauthorized,false
CLIENT CAPABILITIES::Native OS Elements,about_native_os_elements,false
